Source IP,Source Port,Destination IP,Destination Port,Flags
192.168.0.100,10035,37.48.68.71,443,A
192.168.0.100,9964,104.26.7.95,443,PA
104.26.7.95,443,192.168.0.100,9964,A
37.48.68.71,443,192.168.0.100,10035,R
104.26.7.95,443,192.168.0.100,9964,PA
104.26.7.95,443,192.168.0.100,9964,PA
192.168.0.100,9964,104.26.7.95,443,A
192.168.0.100,9964,104.26.7.95,443,PA
192.168.0.100,10062,52.84.102.41,443,A
52.84.102.41,443,192.168.0.100,10062,A
192.168.0.100,10040,212.117.190.201,443,A
212.117.190.201,443,192.168.0.100,10040,A
192.168.0.100,9964,104.26.7.95,443,PA
104.26.7.95,443,192.168.0.100,9964,A
104.26.7.95,443,192.168.0.100,9964,PA
192.168.0.100,9964,104.26.7.95,443,A
192.168.0.100,9520,35.190.80.1,443,PA
192.168.0.100,9520,35.190.80.1,443,PA
35.190.80.1,443,192.168.0.100,9520,A
35.190.80.1,443,192.168.0.100,9520,PA
192.168.0.100,10314,104.26.7.95,443,PA
104.26.7.95,443,192.168.0.100,10314,A
104.26.7.95,443,192.168.0.100,10314,PA
104.26.7.95,443,192.168.0.100,10314,PA
192.168.0.100,10314,104.26.7.95,443,A
104.26.7.95,443,192.168.0.100,10314,PA
192.168.0.100,10314,104.26.7.95,443,PA
104.26.7.95,443,192.168.0.100,10314,A
192.168.0.100,10293,20.199.120.182,443,PA
20.199.120.182,443,192.168.0.100,10293,PA
192.168.0.100,10293,20.199.120.182,443,A
192.168.0.100,10230,104.26.6.95,443,A
192.168.0.100,10304,20.250.77.142,443,A
192.168.0.100,10303,172.64.155.209,443,A
172.64.155.209,443,192.168.0.100,10303,A
192.168.0.100,10314,104.26.7.95,443,PA
104.26.7.95,443,192.168.0.100,10314,A
104.26.7.95,443,192.168.0.100,10314,PA
104.26.7.95,443,192.168.0.100,10314,PA
104.26.7.95,443,192.168.0.100,10314,PA
192.168.0.100,10318,2.20.13.197,443,A
2.20.13.197,443,192.168.0.100,10318,A
192.168.0.100,10314,104.26.7.95,443,PA
104.26.7.95,443,192.168.0.100,10314,A
104.26.7.95,443,192.168.0.100,10314,PA
104.26.7.95,443,192.168.0.100,10314,PA
192.168.0.100,10314,104.26.7.95,443,A
104.26.7.95,443,192.168.0.100,10314,PA
192.168.0.100,10314,104.26.7.95,443,PA
192.168.0.100,10314,104.26.7.95,443,PA
104.26.7.95,443,192.168.0.100,10314,A
192.168.0.100,10280,35.190.80.1,443,PA
192.168.0.100,10280,35.190.80.1,443,PA
35.190.80.1,443,192.168.0.100,10280,PA
192.168.0.100,10280,35.190.80.1,443,A
35.190.80.1,443,192.168.0.100,10280,PA
192.168.0.100,10280,35.190.80.1,443,PA
192.168.0.100,10280,35.190.80.1,443,PA
192.168.0.100,10280,35.190.80.1,443,PA
192.168.0.100,10280,35.190.80.1,443,A
192.168.0.100,10314,104.26.7.95,443,PA
192.168.0.100,10314,104.26.7.95,443,PA
192.168.0.100,10314,104.26.7.95,443,PA
192.168.0.100,10314,104.26.7.95,443,PA
192.168.0.100,10314,104.26.7.95,443,PA
192.168.0.100,10314,104.26.7.95,443,PA
192.168.0.100,10398,2.16.162.21,443,FA
192.168.0.100,10398,2.16.162.21,443,FA
104.26.7.95,443,192.168.0.100,10314,PA
192.168.0.100,10314,104.26.7.95,443,PA
192.168.0.100,10398,2.16.162.21,443,FA
192.168.0.100,10314,104.26.7.95,443,PA
104.26.7.95,443,192.168.0.100,10314,A
192.168.0.100,10398,2.16.162.21,443,FA
104.26.7.95,443,192.168.0.100,10314,PA
192.168.0.100,10314,104.26.7.95,443,A
104.26.7.95,443,192.168.0.100,10314,PA
192.168.0.100,10314,104.26.7.95,443,A
192.168.0.100,10398,2.16.162.21,443,FA
192.168.0.100,10398,2.16.162.21,443,FA
192.168.0.100,10479,104.26.6.95,443,PA
192.168.0.100,10479,104.26.6.95,443,PA
104.26.6.95,443,192.168.0.100,10479,A
104.26.6.95,443,192.168.0.100,10479,PA
104.26.6.95,443,192.168.0.100,10479,PA
192.168.0.100,10479,104.26.6.95,443,A
104.26.6.95,443,192.168.0.100,10479,PA
192.168.0.100,10479,104.26.6.95,443,PA
192.168.0.100,10479,104.26.6.95,443,PA
104.26.6.95,443,192.168.0.100,10479,A
3.233.158.26,443,192.168.0.100,10485,PA
192.168.0.100,10485,3.233.158.26,443,FA
3.233.158.26,443,192.168.0.100,10485,PA
3.233.158.26,443,192.168.0.100,10485,FA
192.168.0.100,10485,3.233.158.26,443,RA
192.168.0.100,10464,20.250.77.142,443,A
20.250.77.142,443,192.168.0.100,10464,A
192.168.0.100,10479,104.26.6.95,443,PA
192.168.0.100,10479,104.26.6.95,443,PA
104.26.6.95,443,192.168.0.100,10479,A
172.67.73.98,443,192.168.0.100,10545,PA
172.64.155.209,443,192.168.0.100,10553,A
192.168.0.100,10553,172.64.155.209,443,A
192.168.0.100,10545,172.67.73.98,443,A
172.64.155.209,443,192.168.0.100,10553,A
192.168.0.100,10553,172.64.155.209,443,A
192.168.0.100,10553,172.64.155.209,443,PA
172.64.155.209,443,192.168.0.100,10553,A
