Source IP,Source Port,Destination IP,Destination Port,Traffic Type,Timestamp
192.168.0.100,10035,37.48.68.71,443,Normal,Sat Oct 12 21:15:35 2024
192.168.0.100,9964,104.26.7.95,443,Normal,Sat Oct 12 21:15:35 2024
104.26.7.95,443,192.168.0.100,9964,Normal,Sat Oct 12 21:15:35 2024
37.48.68.71,443,192.168.0.100,10035,Normal,Sat Oct 12 21:15:35 2024
104.26.7.95,443,192.168.0.100,9964,Normal,Sat Oct 12 21:15:36 2024
104.26.7.95,443,192.168.0.100,9964,Normal,Sat Oct 12 21:15:36 2024
192.168.0.100,9964,104.26.7.95,443,Normal,Sat Oct 12 21:15:36 2024
192.168.0.100,9964,104.26.7.95,443,Normal,Sat Oct 12 21:15:36 2024
192.168.0.100,10062,52.84.102.41,443,Normal,Sat Oct 12 21:15:36 2024
52.84.102.41,443,192.168.0.100,10062,Normal,Sat Oct 12 21:15:36 2024
192.168.0.100,10040,212.117.190.201,443,Normal,Sat Oct 12 21:15:36 2024
212.117.190.201,443,192.168.0.100,10040,Normal,Sat Oct 12 21:15:36 2024
192.168.0.100,9964,104.26.7.95,443,Normal,Sat Oct 12 21:15:36 2024
104.26.7.95,443,192.168.0.100,9964,Normal,Sat Oct 12 21:15:36 2024
104.26.7.95,443,192.168.0.100,9964,Normal,Sat Oct 12 21:15:36 2024
192.168.0.100,9964,104.26.7.95,443,Normal,Sat Oct 12 21:15:36 2024
192.168.0.100,9520,35.190.80.1,443,Normal,Sat Oct 12 21:15:38 2024
192.168.0.100,9520,35.190.80.1,443,Normal,Sat Oct 12 21:15:38 2024
35.190.80.1,443,192.168.0.100,9520,Normal,Sat Oct 12 21:15:38 2024
35.190.80.1,443,192.168.0.100,9520,Normal,Sat Oct 12 21:15:38 2024,,,
20.250.77.142,443,192.168.0.100,52568,Normal,2024-10-13 20:22:04.848838,,,,
192.168.0.100,52568,20.250.77.142,443,Normal,2024-10-13 20:22:04.870966
192.168.0.100,52568,20.250.77.142,443,Normal,2024-10-13 20:22:05.155752
192.168.0.100,52456,104.26.7.95,443,Normal,2024-10-13 20:22:05.191655
104.26.7.95,443,192.168.0.100,52456,Normal,2024-10-13 20:22:05.210609
192.168.0.100,52568,20.250.77.142,443,Normal,2024-10-13 20:22:05.480883,,,,
104.26.7.95,443,192.168.0.100,52456,Normal,2024-10-13 20:22:05.514793
192.168.0.100,52456,104.26.7.95,443,Normal,2024-10-13 20:22:05.539728
104.26.7.95,443,192.168.0.100,52456,Normal,2024-10-13 20:22:05.565658
192.168.0.100,52456,104.26.7.95,443,Normal,2024-10-13 20:22:05.594578,,,,
192.168.0.100,52456,104.26.7.95,443,Normal,2024-10-13 20:22:05.614526
104.26.7.95,443,192.168.0.100,52456,Normal,2024-10-13 20:22:05.632478,,,,
20.250.77.142,443,192.168.0.100,52568,Normal,2024-10-13 20:22:05.647538
192.168.0.100,52451,35.228.14.46,443,Normal,2024-10-13 20:22:11.682055
35.228.14.46,443,192.168.0.100,52451,Normal,2024-10-13 20:22:11.842964
192.168.0.100,52592,192.168.2.101,7680,SYN Flood,2024-10-13 20:22:12.040434
192.168.0.100,52593,192.168.100.252,7680,SYN Flood,2024-10-13 20:22:12.062370,
192.168.0.100,52588,3.233.158.25,443,Normal,2024-10-13 20:22:12.397967
192.168.0.100,52583,104.18.32.47,443,Normal,2024-10-13 20:22:12.561792
192.168.0.100,52583,104.18.32.47,443,Normal,2024-10-13 20:22:12.575760
192.168.0.100,52208,35.190.80.1,443,Normal,2024-10-13 20:23:35.132637
192.168.0.100,52208,35.190.80.1,443,Normal,2024-10-13 20:23:35.158626
35.190.80.1,443,192.168.0.100,52208,Normal,2024-10-13 20:23:35.174686
35.190.80.1,443,192.168.0.100,52208,Normal,2024-10-13 20:23:35.188651
35.190.80.1,443,192.168.0.100,52208,Normal,2024-10-13 20:23:35.201649
192.168.0.100,52208,35.190.80.1,443,Normal,2024-10-13 20:23:35.218606
192.168.0.100,52456,104.26.7.95,443,Normal,2024-10-13 20:23:35.302672
35.190.80.1,443,192.168.0.100,52208,Normal,2024-10-13 20:23:35.368582
192.168.0.100,52208,35.190.80.1,443,Normal,2024-10-13 20:23:35.388528
192.168.0.100,52208,35.190.80.1,443,Normal,2024-10-13 20:23:35.409509
192.168.0.100,52208,35.190.80.1,443,Normal,2024-10-13 20:23:35.429422
192.168.0.100,52208,35.190.80.1,443,Normal,2024-10-13 20:23:35.449369
192.168.0.100,52208,35.190.80.1,443,Normal,2024-10-13 20:23:35.476293
35.190.80.1,443,192.168.0.100,52208,Normal,2024-10-13 20:23:35.497238
35.190.80.1,443,192.168.0.100,52208,Normal,2024-10-13 20:23:35.515190
35.190.80.1,443,192.168.0.100,52208,Normal,2024-10-13 20:23:35.608673
192.168.0.100,52208,35.190.80.1,443,Normal,2024-10-13 20:23:35.631737
192.168.0.100,52208,35.190.80.1,443,Normal,2024-10-13 20:23:35.650741
35.190.80.1,443,192.168.0.100,52208,Normal,2024-10-13 20:23:35.670690
192.168.0.100,52568,20.250.77.142,443,Normal,2024-10-13 20:23:35.742663
104.26.7.95,443,192.168.0.100,52456,Normal,2024-10-13 20:39:10.648834
104.26.7.95,443,192.168.0.100,52456,Normal,2024-10-13 20:39:10.667784
192.168.0.100,52456,104.26.7.95,443,Normal,2024-10-13 20:39:10.681749
192.168.0.100,52456,104.26.7.95,443,Normal,2024-10-13 20:39:10.695819
104.26.7.95,443,192.168.0.100,52456,Normal,2024-10-13 20:39:10.709820
104.26.7.95,443,192.168.0.100,52456,Normal,2024-10-13 20:39:10.871783
192.168.0.100,52456,104.26.7.95,443,Normal,2024-10-13 20:39:10.924750
192.168.0.100,52576,172.64.155.209,443,Normal,2024-10-13 20:39:13.506456
192.168.0.100,52725,104.18.32.47,443,Normal,2024-10-13 20:39:14.084206
104.18.32.47,443,192.168.0.100,52725,Normal,2024-10-13 20:39:14.098204
192.168.0.100,52882,192.168.1.116,7680,SYN Flood,2024-10-13 20:39:14.778464
192.168.0.100,52883,192.168.100.207,7680,SYN Flood,2024-10-13 20:39:15.437033
192.168.0.100,52456,104.26.7.95,443,Normal,2024-10-13 20:39:20.325079
104.26.7.95,443,192.168.0.100,52456,Normal,2024-10-13 20:39:20.640698
104.26.7.95,443,192.168.0.100,52456,Normal,2024-10-13 20:39:20.657650
104.26.7.95,443,192.168.0.100,52456,Normal,2024-10-13 20:39:20.672610
192.168.0.100,52456,104.26.7.95,443,Normal,2024-10-13 20:39:20.686798
192.168.0.100,52456,104.26.7.95,443,Normal,2024-10-13 20:39:20.701723
192.168.0.100,52456,104.26.7.95,443,Normal,2024-10-13 20:39:21.317955
192.168.0.100,52208,35.190.80.1,443,Normal,2024-10-13 20:39:21.529396
192.168.0.100,52456,104.26.7.95,443,Normal,2024-10-13 20:41:00.452579
104.26.7.95,443,192.168.0.100,52456,Normal,2024-10-13 20:41:00.473627
192.168.0.100,52890,192.168.100.252,7680,SYN Flood,2024-10-13 20:41:00.564745
192.168.0.100,52238,74.125.206.188,5228,Normal,2024-10-13 20:41:00.623764
74.125.206.188,5228,192.168.0.100,52238,Normal,2024-10-13 20:41:00.760846
104.26.7.95,443,192.168.0.100,52456,Normal,2024-10-13 20:41:00.853015
104.26.7.95,443,192.168.0.100,52456,Normal,2024-10-13 20:41:00.873987
192.168.0.100,52456,104.26.7.95,443,Normal,2024-10-13 20:41:00.888916
104.26.7.95,443,192.168.0.100,52456,Normal,2024-10-13 20:41:00.902878
192.168.0.100,52456,104.26.7.95,443,Normal,2024-10-13 20:41:00.915841
104.26.7.95,443,192.168.0.100,52456,Normal,2024-10-13 20:41:00.933827
192.168.0.100,52886,20.199.120.182,443,Normal,2024-10-13 20:41:00.969733
192.168.0.100,52890,192.168.100.252,7680,SYN Flood,2024-10-13 20:41:01.568125
192.168.0.100,52890,192.168.100.252,7680,SYN Flood,2024-10-13 20:41:03.573039
192.168.0.100,52890,192.168.100.252,7680,SYN Flood,2024-10-13 20:41:07.584444
192.168.0.100,52456,104.26.7.95,443,Normal,2024-10-13 20:41:10.462490
104.26.7.95,443,192.168.0.100,52456,Normal,2024-10-13 20:41:10.480435
104.26.7.95,443,192.168.0.100,52456,Normal,2024-10-13 20:41:10.778330
104.26.7.95,443,192.168.0.100,52456,Normal,2024-10-13 20:41:10.793321
104.26.7.95,443,192.168.0.100,52456,Normal,2024-10-13 20:41:10.807282
192.168.0.100,52903,20.250.77.142,443,Normal,2024-10-13 20:55:39.762586
192.168.0.100,52903,20.250.77.142,443,Normal,2024-10-13 20:55:39.783523
20.250.77.142,443,192.168.0.100,52903,Normal,2024-10-13 20:55:39.883844
192.168.0.100,52456,104.26.7.95,443,Normal,2024-10-13 20:55:41.384450
104.26.7.95,443,192.168.0.100,52456,Normal,2024-10-13 20:55:41.398479
104.26.7.95,443,192.168.0.100,52456,Normal,2024-10-13 20:55:41.901906
104.26.7.95,443,192.168.0.100,52456,Normal,2024-10-13 20:55:41.925875
192.168.0.100,52456,104.26.7.95,443,Normal,2024-10-13 20:55:41.942796
104.26.7.95,443,192.168.0.100,52456,Normal,2024-10-13 20:55:41.960748
192.168.0.100,52456,104.26.7.95,443,Normal,2024-10-13 20:55:41.981692
104.26.7.95,443,192.168.0.100,52456,Normal,2024-10-13 20:55:42.001638
192.168.0.100,52958,192.168.1.116,7680,SYN Flood,2024-10-13 20:55:43.083111
192.168.0.100,52958,192.168.1.116,7680,SYN Flood,2024-10-13 20:55:44.090141
192.168.0.100,52958,192.168.1.116,7680,SYN Flood,2024-10-13 20:55:46.090035
192.168.0.100,52958,192.168.1.116,7680,SYN Flood,2024-10-13 20:55:50.106420
192.168.0.100,52456,104.26.7.95,443,Normal,2024-10-13 20:55:51.401859
104.26.7.95,443,192.168.0.100,52456,Normal,2024-10-13 20:55:51.419841
104.26.7.95,443,192.168.0.100,52456,Normal,2024-10-13 20:55:51.710008
104.26.7.95,443,192.168.0.100,52456,Normal,2024-10-13 20:55:51.728954
192.168.0.100,52456,104.26.7.95,443,Normal,2024-10-13 20:55:51.742883
192.168.0.100,52961,35.190.80.1,443,Normal,2024-10-13 20:57:35.666023
192.168.0.100,52961,35.190.80.1,443,Normal,2024-10-13 20:57:35.684320
192.168.0.100,52961,35.190.80.1,443,Normal,2024-10-13 20:57:35.699242
35.190.80.1,443,192.168.0.100,52961,Normal,2024-10-13 20:57:35.714202
35.190.80.1,443,192.168.0.100,52961,Normal,2024-10-13 20:57:35.902552
192.168.0.100,52961,35.190.80.1,443,Normal,2024-10-13 20:57:35.927486
35.190.80.1,443,192.168.0.100,52961,Normal,2024-10-13 20:57:35.951422
192.168.0.100,52961,35.190.80.1,443,Normal,2024-10-13 20:57:35.970371
192.168.0.100,52961,35.190.80.1,443,Normal,2024-10-13 20:57:35.988323
192.168.0.100,52961,35.190.80.1,443,Normal,2024-10-13 20:57:36.010264
35.190.80.1,443,192.168.0.100,52961,Normal,2024-10-13 20:57:36.029214
192.168.0.100,52940,46.32.182.121,443,Normal,2024-10-13 20:57:37.170339
192.168.0.100,52940,46.32.182.121,443,Normal,2024-10-13 20:57:37.195330
192.168.0.100,52940,46.32.182.121,443,Normal,2024-10-13 20:57:37.210322
46.32.182.121,443,192.168.0.100,52940,Normal,2024-10-13 20:57:37.335996
46.32.182.121,443,192.168.0.100,52940,Normal,2024-10-13 20:57:37.360922
46.32.182.121,443,192.168.0.100,52940,Normal,2024-10-13 20:57:37.378842
46.32.182.121,443,192.168.0.100,52940,Normal,2024-10-13 20:57:37.402775
192.168.0.100,52940,46.32.182.121,443,Normal,2024-10-13 20:57:37.426713
192.168.0.100,52940,46.32.182.121,443,Normal,2024-10-13 20:57:37.446716
192.168.0.100,53008,3.109.180.247,443,Normal,2024-10-13 21:07:50.151895
13.107.42.14,443,192.168.0.100,53115,Normal,2024-10-13 21:07:50.293213
196.202.177.98,443,192.168.0.100,53120,Normal,2024-10-13 21:07:51.541865
196.202.177.98,443,192.168.0.100,53120,Normal,2024-10-13 21:07:51.564759
192.168.0.100,53120,196.202.177.98,443,Normal,2024-10-13 21:07:51.578722
192.168.0.100,53120,196.202.177.98,443,Normal,2024-10-13 21:07:51.597671
